Designator,Mid X,Mid Y,Rotation,Layer
C1,88.105144,-87.54518,90.0,top
C10,119.8,-80.469894,90.0,top
C11,158.9,-76.6,0.0,top
C12,144.5,-65.2,90.0,top
C13,146.4,-76.0,180.0,top
C14,144.4,-78.52,270.0,top
C15,145.75,-65.2,90.0,top
C16,143.25,-65.2,90.0,top
C17,140.135077,-75.050038,90.0,top
C18,170.92,-66.2,0.0,top
C19,189.035,-107.219895,90.0,top
C2,75.405144,-92.12018,270.0,top
C20,194.793557,-107.819895,180.0,top
C3,81.5,-101.5,270.0,top
C4,81.196114,-114.3,180.0,top
C5,93.0,-106.40482,270.0,top
C6,90.5,-106.40482,270.0,top
C7,131.7,-71.874714,0.0,top
C8,122.0,-80.469894,90.0,top
C9,131.9,-85.519894,90.0,top
D1,86.0,-101.6,180.0,top
D10,180.5,-89.4,0.0,top
D11,180.5,-94.2,0.0,top
D12,186.5,-94.2,0.0,top
D13,168.5,-89.4,0.0,top
D14,186.5,-89.4,0.0,top
D15,168.5,-94.2,0.0,top
D16,174.5,-89.4,0.0,top
D17,191.9,-74.4,90.0,top
D18,197.4,-76.6,90.0,top
D19,192.5,-89.4,0.0,top
D2,126.9,-85.274714,0.0,top
D20,198.5,-89.4,0.0,top
D21,198.5,-94.2,0.0,top
D22,192.5,-94.2,0.0,top
D23,204.5,-94.2,0.0,top
D24,204.5,-89.4,0.0,top
D3,156.5,-89.4,0.0,top
D4,156.5,-94.2,0.0,top
D5,162.5,-89.4,0.0,top
D6,150.5,-94.2,0.0,top
D7,162.5,-94.2,0.0,top
D8,150.5,-89.4,0.0,top
D9,174.5,-94.2,0.0,top
J12,96.8,-124.1,270.0,top
J13,92.3,-124.1,270.0,top
J14,126.2,-60.4,90.0,top
J15,139.7,-60.4,90.0,top
J16,121.7,-60.4,90.0,top
J17,135.2,-60.4,90.0,top
J18,117.2,-60.4,90.0,top
J19,130.7,-60.4,90.0,top
J25,139.7,-124.0,90.0,top
J26,130.7,-124.0,90.0,top
J27,126.2,-124.0,90.0,top
J28,121.7,-124.0,90.0,top
J29,117.2,-124.0,90.0,top
J31,135.2,-124.0,90.0,top
J5,74.3,-124.1,270.0,top
J6,83.3,-124.1,270.0,top
J7,78.8,-124.1,270.0,top
J8,87.8,-124.1,270.0,top
L1,76.5,-103.2,270.0,top
L2,136.9,-83.374714,90.0,top
R1,81.3,-111.8,0.0,top
R10,148.0,-63.0,0.0,top
R11,148.0,-64.4,0.0,top
R12,158.624963,-110.1,90.0,top
R13,150.700001,-102.261443,90.0,top
R14,157.224963,-106.216662,90.0,top
R15,149.300001,-108.722433,90.0,top
R16,150.700001,-107.352306,90.0,top
R17,157.224963,-101.145026,90.0,top
R18,158.624963,-105.05,90.0,top
R19,149.300001,-103.63157,90.0,top
R2,82.105144,-97.32018,270.0,top
R20,158.624963,-99.774899,90.0,top
R21,149.300001,-113.813293,90.0,top
R22,150.700001,-112.443166,90.0,top
R23,157.224963,-111.288298,90.0,top
R24,157.224963,-116.359934,90.0,top
R25,150.700001,-122.624886,90.0,top
R26,149.300001,-123.995013,90.0,top
R27,149.300001,-118.904153,90.0,top
R28,158.624963,-115.15,90.0,top
R29,150.700001,-117.534026,90.0,top
R3,84.7,-111.8,0.0,top
R30,157.224963,-121.43157,90.0,top
R31,158.624963,-120.2,90.0,top
R32,185.9,-59.4875,270.0,top
R33,180.7,-59.4875,270.0,top
R34,188.5,-59.4875,270.0,top
R35,170.9,-63.0,0.0,top
R36,183.3,-59.4875,270.0,top
R37,182.249962,-77.449962,90.0,top
R38,182.249962,-70.049962,90.0,top
R39,179.849962,-77.449962,270.0,top
R4,80.105144,-97.32018,270.0,top
R40,184.9,-106.8,0.0,top
R41,176.2375,-112.95,180.0,top
R42,176.2375,-100.65,180.0,top
R43,184.9,-103.725,0.0,top
R44,176.2375,-103.725,180.0,top
R45,176.2375,-106.8,180.0,top
R46,176.2375,-109.875,180.0,top
R47,184.9,-112.95,0.0,top
R48,184.9,-109.875,0.0,top
R49,184.9,-100.65,0.0,top
R5,90.2,-87.6,270.0,top
R50,201.59,-70.601482,180.0,top
R51,204.09,-79.42642,180.0,top
R52,201.49,-79.42642,180.0,top
R53,204.19,-70.601482,180.0,top
R54,191.035,-107.019895,90.0,top
R6,131.319856,-74.374714,180.0,top
R7,128.2,-74.374714,180.0,top
R8,115.9,-99.0,90.0,top
R9,122.55,-99.1,90.0,top
U1,83.5,-81.908004,180.0,top
U10,161.250013,-105.821649,180.0,top
U11,161.250013,-100.750013,180.0,top
U12,161.250013,-110.893285,180.0,top
U13,153.325051,-103.236557,180.0,top
U14,153.325051,-113.41828,180.0,top
U15,153.325051,-108.32742,180.0,top
U16,153.325051,-123.6,180.0,top
U17,161.250013,-115.964921,180.0,top
U18,153.325051,-118.50914,180.0,top
U19,161.250013,-121.036557,180.0,top
U2,84.9,-87.4,270.0,top
U20,165.7,-69.6,0.0,top
U21,181.249962,-73.649962,270.0,top
U22,177.3,-118.8,0.0,top
U23,202.926557,-76.851469,270.0,top
U24,203.026557,-68.026531,270.0,top
U25,198.971557,-110.619895,0.0,top
U3,85.5,-106.8,0.0,top
U4,81.105144,-92.59518,270.0,top
U5,127.294856,-80.074714,180.0,top
U6,119.9,-92.900051,90.0,top
U7,123.5,-95.675,270.0,top
U8,152.9,-69.2,270.0,top
U9,143.235077,-75.050038,180.0,top
Y1,154.9,-80.4,0.0,top
