Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12",0805,2,10nF,C1710
"C10, C6",CAP-SMD_L3.5-W2.8,2,220uF,C212682
"C11, C7, C8, C9",0805,4,4.7uF,C1779
"C13, C17, C3, C4",0603,4,1uF,C15849
C14,0402,1,4.7uF,C23733
"C15, C18, C20, C5",0402,4,0.1uF,C1525
"C16, C19",0402,2,10pF,C32949
C2,0603,1,10uF,C19702
"D1, D12",SMA_L4.3-W2.6-LS5.2-RD,2,SS34,C8678
"D10, D11, D13, D14, D15, D16, D17, D18, D19, D2, D20, D22, D23, D24, D3, D4, D5, D6, D7, D8, D9",LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B,21,XL-1615RGBC-WS2812B,C5349954
D21,SMA_L4.3-W2.6-LS5.2-RD,1,M7,C95872
"J1, J24, J40",CONN-SMD_YZF0002-38080-02,3,CFG,C5203987
"J2, J27, J41",CONN-SMD_YZF0002-38080-02,3,SEL,C5203987
"J20, J4, J42",CONN-SMD_YZF0002-38080-02,3,RX,C5203987
"J22, J39, J5",CONN-SMD_YZF0002-38080-02,3,TX,C5203987
"J23, J3, J38",CONN-SMD_YZF0002-38080-02,3,VCC,C5203987
"J25, J43, J6",CONN-SMD_YZF0002-38080-02,3,GND,C5203987
"L1, L2",IND-SMD_L7.3-W6.6_MHCI06030,2,22uH,C128694
"R1, R14, R18, R2, R20, R21, R22, R24, R3, R45, R47, R8",0402,12,100k,C25741
"R10, R11",0603,2,5.1k,C23186
"R12, R50, R51, R52, R53",0805,5,4.7k,C17673
"R13, R42, R43, R44",0805,4,1k,C17513
"R15, R16, R17, R19, R23, R25, R4, R46, R48, R5, R6, R7",0402,12,1k,C11702
"R26, R27, R28, R29, R30, R31, R32, R33, R34, R35",1206,10,100,C17901
R36,0805,1,10k,C17414
"R37, R40",0603,2,3.9k,C23018
"R38, R39",0603,2,12k,C22790
"R41, R49, R54",0402,3,10k,C25744
R9,0603,1,100k,C25803
"U1, U10, U11, U12, U13, U14, U15, U16, U2, U24, U25, U3, U4, U9",SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,14,AO3401A,C15127
U17,Dual LM358,1,LM358DR2G,C7950
"U18, U19",ESOP-8_L4.9-W3.9-P1.27-LS6.0-TL-EP,2,TPS5430DDAR,C9864
U20,XC6206,1,XC6206P332MR,C5446
U21,LQFP-48_L7.0-W7.0-P0.50-LS9.0-BL_1,1,STM32G030C8T6,C529329
U22,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,1,TS-1187A-B-A-B,C318884
U23,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,2N7002,C8545
U5,MJD44 NPN,1,MJD44H11J,C551528
U6,TSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL,1,IP2721,C603176
U7,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,AO3400A,C20917
U8,TYPE-C-SMD_TYPE-C-6P,1,TYPE-C_6P,C456012
Y1,CRYSTAL-SMD_L11.5-W4.8-LS12.7,1,Crystal,C12674
