Designator,Mid X,Mid Y,Rotation,Layer
C1,89.4,-102.5,90.0,top
C10,132.1,-71.774714,0.0,top
C11,120.2,-80.369894,90.0,top
C12,132.3,-85.419894,90.0,top
C13,144.8,-78.42,270.0,top
C14,143.65,-65.1,90.0,top
C15,144.9,-65.1,90.0,top
C16,146.8,-75.9,180.0,top
C17,140.535077,-74.950038,90.0,top
C18,146.15,-65.1,90.0,top
C19,159.3,-76.5,0.0,top
C2,82.794856,-116.45482,270.0,top
C20,171.32,-66.1,0.0,top
C3,95.494856,-111.87982,90.0,top
C4,189.435,-107.119895,90.0,top
C5,195.193557,-107.719895,180.0,top
C6,89.703886,-89.7,0.0,top
C7,77.9,-97.59518,90.0,top
C8,80.4,-97.59518,90.0,top
C9,122.4,-80.369894,90.0,top
D1,84.9,-102.4,0.0,top
D10,198.9,-94.1,0.0,top
D11,192.9,-94.1,0.0,top
D12,127.3,-85.174714,0.0,top
D13,156.9,-89.3,0.0,top
D14,150.9,-89.3,0.0,top
D15,162.9,-89.3,0.0,top
D16,180.9,-89.3,0.0,top
D17,186.9,-89.3,0.0,top
D18,174.9,-89.3,0.0,top
D19,168.9,-89.3,0.0,top
D2,156.9,-94.1,0.0,top
D20,197.8,-76.5,90.0,top
D21,192.3,-74.3,90.0,top
D22,204.9,-89.3,0.0,top
D23,198.9,-89.3,0.0,top
D24,192.9,-89.3,0.0,top
D3,162.9,-94.1,0.0,top
D4,150.9,-94.1,0.0,top
D5,186.9,-94.1,0.0,top
D6,168.9,-94.1,0.0,top
D7,174.9,-94.1,0.0,top
D8,180.9,-94.1,0.0,top
D9,204.9,-94.1,0.0,top
J1,131.1,-123.9,90.0,top
J2,135.6,-123.9,90.0,top
J20,83.1,-79.9,90.0,top
J22,78.6,-79.9,90.0,top
J23,74.1,-79.9,90.0,top
J24,87.6,-79.9,90.0,top
J25,96.6,-79.9,90.0,top
J27,92.1,-79.9,90.0,top
J3,117.6,-123.9,90.0,top
J38,117.6,-60.3,90.0,top
J39,122.1,-60.3,90.0,top
J4,126.6,-123.9,90.0,top
J40,131.1,-60.3,90.0,top
J41,135.6,-60.3,90.0,top
J42,126.6,-60.3,90.0,top
J43,140.1,-60.3,90.0,top
J5,122.1,-123.9,90.0,top
J6,140.1,-123.9,90.0,top
L1,94.4,-100.8,90.0,top
L2,137.3,-83.274714,90.0,top
R1,149.700001,-123.895013,90.0,top
R10,88.794856,-106.67982,90.0,top
R11,90.794856,-106.67982,90.0,top
R12,122.9,-99.175,270.0,top
R13,116.3,-98.9,90.0,top
R14,149.700001,-103.53157,90.0,top
R15,151.100001,-112.343166,90.0,top
R16,151.100001,-102.161443,90.0,top
R17,159.024963,-104.95,90.0,top
R18,157.624963,-111.188298,90.0,top
R19,159.024963,-99.674899,90.0,top
R2,149.700001,-118.804153,90.0,top
R20,149.700001,-113.713293,90.0,top
R21,157.624963,-106.116662,90.0,top
R22,149.700001,-108.622433,90.0,top
R23,159.024963,-110.0,90.0,top
R24,157.624963,-101.045026,90.0,top
R25,151.100001,-107.252306,90.0,top
R26,185.3,-100.55,0.0,top
R27,176.6375,-112.85,180.0,top
R28,185.3,-112.85,0.0,top
R29,185.3,-103.625,0.0,top
R3,157.624963,-116.259934,90.0,top
R30,176.6375,-103.625,180.0,top
R31,176.6375,-100.55,180.0,top
R32,176.6375,-106.7,180.0,top
R33,185.3,-106.7,0.0,top
R34,176.6375,-109.775,180.0,top
R35,185.3,-109.775,0.0,top
R36,191.435,-106.919895,90.0,top
R37,86.2,-92.2,180.0,top
R38,89.6,-92.2,180.0,top
R39,131.719856,-74.274714,180.0,top
R4,151.100001,-122.524886,90.0,top
R40,128.6,-74.274714,180.0,top
R41,148.4,-64.3,0.0,top
R42,182.649962,-77.349962,90.0,top
R43,182.649962,-69.949962,90.0,top
R44,180.249962,-77.349962,270.0,top
R45,204.49,-79.32642,180.0,top
R46,201.99,-70.501482,180.0,top
R47,204.59,-70.501482,180.0,top
R48,201.89,-79.32642,180.0,top
R49,148.4,-62.9,0.0,top
R5,159.024963,-115.05,90.0,top
R50,181.1,-59.3875,270.0,top
R51,183.7,-59.3875,270.0,top
R52,188.9,-59.3875,270.0,top
R53,186.3,-59.3875,270.0,top
R54,171.3,-62.9,0.0,top
R6,151.100001,-117.434026,90.0,top
R7,159.024963,-120.1,90.0,top
R8,157.624963,-121.33157,90.0,top
R9,80.7,-116.4,90.0,top
U1,161.650013,-115.864921,180.0,top
U10,120.3,-92.800051,90.0,top
U11,161.650013,-100.650013,180.0,top
U12,161.650013,-105.721649,180.0,top
U13,153.725051,-108.22742,180.0,top
U14,161.650013,-110.793285,180.0,top
U15,153.725051,-113.31828,180.0,top
U16,153.725051,-103.136557,180.0,top
U17,199.371557,-110.519895,0.0,top
U18,85.4,-97.2,180.0,top
U19,127.694856,-79.974714,180.0,top
U2,161.650013,-120.936557,180.0,top
U20,143.635077,-74.950038,180.0,top
U21,153.3,-69.1,270.0,top
U22,166.1,-69.5,0.0,top
U23,181.649962,-73.549962,270.0,top
U24,203.426557,-67.926531,270.0,top
U25,203.326557,-76.751469,270.0,top
U3,153.725051,-118.40914,180.0,top
U4,153.725051,-123.5,180.0,top
U5,177.7,-118.7,0.0,top
U6,89.794856,-111.40482,90.0,top
U7,86.0,-116.6,90.0,top
U8,87.4,-122.091996,0.0,top
U9,123.9,-95.575,270.0,top
Y1,155.3,-80.3,0.0,top
