Designator,Mid X,Mid Y,Rotation,Layer
C1,89.0,-104.5,90.0,top
C10,131.7,-71.774714,0.0,top
C11,119.8,-80.369894,90.0,top
C12,131.9,-85.419894,90.0,top
C13,144.4,-78.42,270.0,top
C14,143.25,-65.1,90.0,top
C15,144.5,-65.1,90.0,top
C16,146.4,-75.9,180.0,top
C17,140.135077,-74.950038,90.0,top
C18,145.75,-65.1,90.0,top
C19,158.9,-76.5,0.0,top
C2,82.394856,-118.45482,270.0,top
C20,170.92,-66.1,0.0,top
C3,95.094856,-113.87982,90.0,top
C4,189.035,-107.119895,90.0,top
C5,194.793557,-107.719895,180.0,top
C6,89.303886,-91.7,0.0,top
C7,77.5,-99.59518,90.0,top
C8,80.0,-99.59518,90.0,top
C9,122.0,-80.369894,90.0,top
D1,84.5,-104.4,0.0,top
D10,198.5,-94.1,0.0,top
D11,192.5,-94.1,0.0,top
D12,126.9,-85.174714,0.0,top
D13,156.5,-89.3,0.0,top
D14,150.5,-89.3,0.0,top
D15,162.5,-89.3,0.0,top
D16,180.5,-89.3,0.0,top
D17,186.5,-89.3,0.0,top
D18,174.5,-89.3,0.0,top
D19,168.5,-89.3,0.0,top
D2,156.5,-94.1,0.0,top
D20,197.4,-76.5,90.0,top
D21,191.9,-74.3,90.0,top
D22,204.5,-89.3,0.0,top
D23,198.5,-89.3,0.0,top
D24,192.5,-89.3,0.0,top
D3,162.5,-94.1,0.0,top
D4,150.5,-94.1,0.0,top
D5,186.5,-94.1,0.0,top
D6,168.5,-94.1,0.0,top
D7,174.5,-94.1,0.0,top
D8,180.5,-94.1,0.0,top
D9,204.5,-94.1,0.0,top
J1,130.7,-123.9,90.0,top
J2,135.2,-123.9,90.0,top
J20,82.7,-81.9,90.0,top
J22,78.2,-81.9,90.0,top
J23,73.7,-81.9,90.0,top
J24,87.2,-81.9,90.0,top
J25,96.2,-81.9,90.0,top
J27,91.7,-81.9,90.0,top
J3,117.2,-123.9,90.0,top
J38,117.2,-60.3,90.0,top
J39,121.7,-60.3,90.0,top
J4,126.2,-123.9,90.0,top
J40,130.7,-60.3,90.0,top
J41,135.2,-60.3,90.0,top
J42,126.2,-60.3,90.0,top
J43,139.7,-60.3,90.0,top
J5,121.7,-123.9,90.0,top
J6,139.7,-123.9,90.0,top
L1,94.0,-102.8,90.0,top
L2,136.9,-83.274714,90.0,top
R1,149.300001,-123.895013,90.0,top
R10,88.394856,-108.67982,90.0,top
R11,90.394856,-108.67982,90.0,top
R12,122.5,-99.175,270.0,top
R13,115.9,-98.9,90.0,top
R14,149.300001,-103.53157,90.0,top
R15,150.700001,-112.343166,90.0,top
R16,150.700001,-102.161443,90.0,top
R17,158.624963,-104.95,90.0,top
R18,157.224963,-111.188298,90.0,top
R19,158.624963,-99.674899,90.0,top
R2,149.300001,-118.804153,90.0,top
R20,149.300001,-113.713293,90.0,top
R21,157.224963,-106.116662,90.0,top
R22,149.300001,-108.622433,90.0,top
R23,158.624963,-110.0,90.0,top
R24,157.224963,-101.045026,90.0,top
R25,150.700001,-107.252306,90.0,top
R26,184.9,-100.55,0.0,top
R27,176.2375,-112.85,180.0,top
R28,184.9,-112.85,0.0,top
R29,184.9,-103.625,0.0,top
R3,157.224963,-116.259934,90.0,top
R30,176.2375,-103.625,180.0,top
R31,176.2375,-100.55,180.0,top
R32,176.2375,-106.7,180.0,top
R33,184.9,-106.7,0.0,top
R34,176.2375,-109.775,180.0,top
R35,184.9,-109.775,0.0,top
R36,191.035,-106.919895,90.0,top
R37,85.8,-94.2,180.0,top
R38,89.2,-94.2,180.0,top
R39,131.319856,-74.274714,180.0,top
R4,150.700001,-122.524886,90.0,top
R40,128.2,-74.274714,180.0,top
R41,148.0,-64.3,0.0,top
R42,182.249962,-77.349962,90.0,top
R43,182.249962,-69.949962,90.0,top
R44,179.849962,-77.349962,270.0,top
R45,204.09,-79.32642,180.0,top
R46,201.59,-70.501482,180.0,top
R47,204.19,-70.501482,180.0,top
R48,201.49,-79.32642,180.0,top
R49,148.0,-62.9,0.0,top
R5,158.624963,-115.05,90.0,top
R50,180.7,-59.3875,270.0,top
R51,183.3,-59.3875,270.0,top
R52,188.5,-59.3875,270.0,top
R53,185.9,-59.3875,270.0,top
R54,170.9,-62.9,0.0,top
R6,150.700001,-117.434026,90.0,top
R7,158.624963,-120.1,90.0,top
R8,157.224963,-121.33157,90.0,top
R9,80.3,-118.4,90.0,top
U1,161.250013,-115.864921,180.0,top
U10,119.9,-92.800051,90.0,top
U11,161.250013,-100.650013,180.0,top
U12,161.250013,-105.721649,180.0,top
U13,153.325051,-108.22742,180.0,top
U14,161.250013,-110.793285,180.0,top
U15,153.325051,-113.31828,180.0,top
U16,153.325051,-103.136557,180.0,top
U17,198.971557,-110.519895,0.0,top
U18,85.0,-99.2,180.0,top
U19,127.294856,-79.974714,180.0,top
U2,161.250013,-120.936557,180.0,top
U20,143.235077,-74.950038,180.0,top
U21,152.9,-69.1,270.0,top
U22,165.7,-69.5,0.0,top
U23,181.249962,-73.549962,270.0,top
U24,203.026557,-67.926531,270.0,top
U25,202.926557,-76.751469,270.0,top
U3,153.325051,-118.40914,180.0,top
U4,153.325051,-123.5,180.0,top
U5,177.3,-118.7,0.0,top
U6,89.394856,-113.40482,90.0,top
U7,85.6,-118.6,90.0,top
U8,87.0,-124.091996,0.0,top
U9,123.5,-95.575,270.0,top
Y1,154.9,-80.3,0.0,top
