Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",0402,2,10pF,C32949
C10,CAP-SMD_L3.5-W2.8,1,220uF,C212682
"C11, C12, C13",0603,3,1uF,C15849
"C14, C2, C4, C6",0402,4,0.1uF,C1525
C5,0402,1,4.7uF,C23733
"C7, C8",0805,2,4.7uF,C1779
C9,0805,1,10nF,C1710
D1,SMA_L4.3-W2.6-LS5.2-RD,1,SS34,C8678
"D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D20, D21, D22, D23, D3, D4, D5, D6, D7, D8, D9",LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B,21,XL-1615RGBC-WS2812B,C5349954
D2,SMA_L4.3-W2.6-LS5.2-RD,1,M7,C95872
"J12, J2",CONN-SMD_YZF0002-38080-02,2,VCC,C5203987
"J13, J3",CONN-SMD_YZF0002-38080-02,2,TX,C5203987
"J14, J4",CONN-SMD_YZF0002-38080-02,2,RX,C5203987
"J15, J5",CONN-SMD_YZF0002-38080-02,2,CFG,C5203987
"J16, J6",CONN-SMD_YZF0002-38080-02,2,SEL,C5203987
"J17, J7",CONN-SMD_YZF0002-38080-02,2,GND,C5203987
L1,IND-SMD_L7.3-W6.6_MHCI06030,1,22uH,C128694
"R1, R20, R22, R24, R26, R29, R31, R37, R39, R4, R43, R45, R6",0402,13,100k,C25741
"R10, R11, R12, R13",0805,4,4.7k,C17673
R14,0603,1,12k,C22790
R15,0603,1,3.9k,C23018
"R16, R17, R18, R5",0805,4,1k,C17513
R19,0805,1,10k,C17414
"R2, R21, R23, R25, R27, R3, R30, R32, R38, R40, R44, R46",0402,12,1k,C11702
"R28, R33, R34, R35, R36, R41, R42, R47, R48, R49",1206,10,100,C17901
"R7, R8, R9",0402,3,10k,C25744
"U1, U10, U11, U13, U14, U15, U16, U18, U19, U2, U20, U21, U4, U6",SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,14,AO3401A,C15127
U12,Dual LM358,1,LM358DR2G,C7950
U17,MJD44 NPN,1,MJD44H11J,C551528
U3,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,1,TS-1187A-B-A-B,C318884
U5,LQFP-48_L7.0-W7.0-P0.50-LS9.0-BL_1,1,STM32G030C8T6,C529329
U7,ESOP-8_L4.9-W3.9-P1.27-LS6.0-TL-EP,1,TPS5430DDAR,C9864
U8,XC6206,1,XC6206P332MR,C5446
U9,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,2N7002,C8545
Y1,CRYSTAL-SMD_L11.5-W4.8-LS12.7,1,Crystal,C12674
