Designator,Mid X,Mid Y,Rotation,Layer
C1,167.0,-81.9,90.0,top
C10,171.125286,-67.2,270.0,top
C11,167.949962,-75.635077,0.0,top
C12,164.48,-79.9,180.0,top
C13,135.780105,-124.535,0.0,top
C14,135.180105,-130.293557,90.0,top
C2,176.8,-106.42,270.0,top
C3,166.4,-94.4,270.0,top
C4,177.8,-80.0,0.0,top
C5,177.8,-78.75,0.0,top
C6,177.8,-81.25,0.0,top
C7,162.530106,-55.3,0.0,top
C8,162.530106,-57.5,0.0,top
C9,157.480106,-67.4,0.0,top
D1,157.725286,-62.4,270.0,top
D10,153.6,-122.0,270.0,top
D11,148.8,-122.0,270.0,top
D12,153.6,-116.0,270.0,top
D13,148.8,-116.0,270.0,top
D14,153.6,-110.0,270.0,top
D15,148.8,-110.0,270.0,top
D16,153.6,-104.0,270.0,top
D17,148.8,-104.0,270.0,top
D18,153.6,-98.0,270.0,top
D19,148.8,-98.0,270.0,top
D2,168.6,-127.4,0.0,top
D20,153.6,-92.0,270.0,top
D21,148.8,-92.0,270.0,top
D22,153.6,-86.0,270.0,top
D23,148.8,-86.0,270.0,top
D3,153.6,-140.0,270.0,top
D4,148.8,-140.0,270.0,top
D5,166.4,-132.9,0.0,top
D6,153.6,-134.0,270.0,top
D7,148.8,-134.0,270.0,top
D8,153.6,-128.0,270.0,top
D9,148.8,-128.0,270.0,top
J12,182.6,-52.7,0.0,top
J13,182.6,-57.2,0.0,top
J14,182.6,-61.7,0.0,top
J15,182.6,-66.2,0.0,top
J16,182.6,-70.7,0.0,top
J17,182.6,-75.2,0.0,top
J2,119.0,-52.7,0.0,top
J3,119.0,-57.2,0.0,top
J4,119.0,-61.7,0.0,top
J5,119.0,-66.2,0.0,top
J6,119.0,-70.7,0.0,top
J7,119.0,-75.2,0.0,top
L1,159.625286,-72.4,0.0,top
R1,163.57358,-139.59,90.0,top
R10,183.5125,-116.2,180.0,top
R11,183.5125,-118.8,180.0,top
R12,183.5125,-121.4,180.0,top
R13,183.5125,-124.0,180.0,top
R14,168.625286,-66.819856,90.0,top
R15,168.625286,-63.7,90.0,top
R16,165.550038,-115.349962,180.0,top
R17,165.550038,-117.749962,0.0,top
R18,172.950038,-117.749962,0.0,top
R19,135.980105,-126.535,0.0,top
R2,163.57358,-136.99,90.0,top
R20,119.004987,-84.800001,0.0,top
R21,120.375114,-86.200001,0.0,top
R22,131.711702,-92.724963,0.0,top
R23,132.9,-94.124963,0.0,top
R24,121.56843,-92.724963,0.0,top
R25,122.8,-94.124963,0.0,top
R26,134.277567,-84.800001,0.0,top
R27,135.647694,-86.200001,0.0,top
R28,130.05,-111.7375,90.0,top
R29,124.095847,-84.800001,0.0,top
R3,172.398518,-137.09,90.0,top
R30,125.465974,-86.200001,0.0,top
R31,136.783338,-92.724963,0.0,top
R32,137.95,-94.124963,0.0,top
R33,133.125,-111.7375,90.0,top
R34,136.2,-111.7375,90.0,top
R35,139.275,-111.7375,90.0,top
R36,142.35,-111.7375,90.0,top
R37,126.640066,-92.724963,0.0,top
R38,127.85,-94.124963,0.0,top
R39,139.36843,-84.800001,0.0,top
R4,172.398518,-139.69,90.0,top
R40,140.738557,-86.200001,0.0,top
R41,142.35,-120.4,270.0,top
R42,139.275,-120.4,270.0,top
R43,129.186707,-84.800001,0.0,top
R44,130.556834,-86.200001,0.0,top
R45,141.854974,-92.724963,0.0,top
R46,143.225101,-94.124963,0.0,top
R47,136.2,-120.4,270.0,top
R48,133.125,-120.4,270.0,top
R49,130.05,-120.4,270.0,top
R5,144.0,-51.4,0.0,top
R6,143.8,-58.1,180.0,top
R7,178.6,-83.5,270.0,top
R8,180.0,-83.5,270.0,top
R9,180.0,-106.4,270.0,top
U1,166.148531,-138.426557,180.0,top
U10,119.4,-88.825051,90.0,top
U11,132.106715,-96.750013,90.0,top
U12,132.380105,-134.471557,270.0,top
U13,121.963443,-96.750013,90.0,top
U14,134.67258,-88.825051,90.0,top
U15,124.49086,-88.825051,90.0,top
U16,137.178351,-96.750013,90.0,top
U17,124.2,-112.8,270.0,top
U18,127.035079,-96.750013,90.0,top
U19,139.763443,-88.825051,90.0,top
U2,174.973469,-138.526557,180.0,top
U20,129.58172,-88.825051,90.0,top
U21,142.249987,-96.750013,90.0,top
U3,173.4,-101.2,270.0,top
U4,147.325,-59.0,180.0,top
U5,173.8,-88.4,180.0,top
U6,150.099949,-55.4,0.0,top
U7,162.925286,-62.794856,90.0,top
U8,167.949962,-78.735077,90.0,top
U9,169.350038,-116.749962,180.0,top
Y1,162.6,-90.4,270.0,top
