Designator,Footprint,Quantity,Value,LCSC Part #
5V,CONN-SMD_YZF0002-38080-02,1,VCC,C5203987
C1,0603,1,1uF,C15849
"C2, C3",0805,2,4.7uF,C1779
C4,0603,1,10uF,C19702
C5,0805,1,10nF,C1710
C6,CAP-SMD_L3.5-W2.8,1,220uF,C212682
CFG,CONN-SMD_YZF0002-38080-02,1,CFG,C5203987
D1,SMA_L4.3-W2.6-LS5.2-RD,1,SS34,C8678
GND,CONN-SMD_YZF0002-38080-02,1,GND,C5203987
J1,PinHeader_1x06_P2.54mm_Vertical,1,ESP32 Jumpers,
"J10, J11, J13, J2, J9",PinHeader_1x02_P2.54mm_Vertical,5,Conn_01x02_Pin,
J12,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
L1,IND-SMD_L7.3-W6.6_MHCI06030,1,22uF,C128694
R1,0603,1,100k,C25803
"R2, R3",0603,2,5.1k,C23186
R4,0603,1,12k,C22790
R5,0603,1,3.9k,C23018
RX,CONN-SMD_YZF0002-38080-02,1,RX,C5203987
SEL,CONN-SMD_YZF0002-38080-02,1,SEL,C5203987
"TP1, TP2, TP3, TP4",TestPoint_Pad_2.0x2.0mm,4,TestPoint,
TX,CONN-SMD_YZF0002-38080-02,1,TX,C5203987
U1,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,AO3400A,C20917
U2,TSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL,1,IP2721,C603176
U3,ESOP-8_L4.9-W3.9-P1.27-LS6.0-TL-EP,1,TPS5430DDAR,C9864
U4,TYPE-C-SMD_TYPE-C-6P,1,TYPE-C_6P,C456012
