Designator,Mid X,Mid Y,Rotation,Layer
C1,141.905144,-90.12018,270.0,top
C2,157.0,-104.40482,270.0,top
C3,159.5,-104.40482,270.0,top
C4,154.605144,-85.54518,90.0,top
C5,148.0,-99.5,270.0,top
C6,147.696114,-112.3,180.0,top
D1,152.5,-99.6,180.0,top
H1,134.5,-78.5,0.0,top
H2,169.0,-78.5,0.0,top
H3,134.5,-121.5,0.0,top
H4,169.0,-121.5,0.0,top
J1,136.6,-103.5,0.0,top
J10,154.605144,-92.8,0.0,top
J11,166.5,-107.0,180.0,top
J12,162.1,-89.17018,0.0,top
J13,136.6,-97.2,0.0,top
J2,158.352572,-92.8,0.0,top
J3,163.3,-122.1,270.0,top
J4,158.8,-122.1,270.0,top
J5,154.3,-122.1,270.0,top
J6,149.8,-122.1,270.0,top
J7,145.3,-122.1,270.0,top
J8,140.8,-122.1,270.0,top
J9,146.675,-85.5,270.0,top
L1,143.0,-101.2,270.0,top
R1,156.7,-85.6,270.0,top
R2,146.605144,-95.32018,270.0,top
R3,148.605144,-95.32018,270.0,top
R4,147.8,-109.8,0.0,top
R5,151.2,-109.8,0.0,top
TP1,140.0,-85.5,0.0,top
TP2,158.3,-99.6,0.0,top
TP3,154.605144,-89.12018,0.0,top
TP4,146.6,-107.2,0.0,top
U1,151.4,-85.4,270.0,top
U2,147.605144,-90.59518,270.0,top
U3,152.0,-104.8,0.0,top
U4,150.0,-79.908004,180.0,top
